STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,24-02-1995,0,"D,,S",81,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,25-02-1995,0,"D,,S",80,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,26-02-1995,0,"D,,S",79,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,27-02-1995,0,"D,,S",81,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,28-02-1995,0,"D,,S",80,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,01-03-1995,0,"D,,S",80,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,02-03-1995,0,"D,,S",81,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,03-03-1995,0,"D,,S",81,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,04-03-1995,0,"D,,S",81,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,05-03-1995,0,"D,,S",82,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,06-03-1995,0,"D,,S",81,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,07-03-1995,0,"D,,S",80,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,08-03-1995,0,"D,,S",80,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,09-03-1995,0,"D,,S",80,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,10-03-1995,,,81,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,11-03-1995,0,",,S",82,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,12-03-1995,0,"D,,S",82,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,13-03-1995,0,"D,,S",81,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,14-03-1995,0,"D,,S",82,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,15-03-1995,0,"D,,S",81,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,16-03-1995,0,"D,,S",82,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,17-03-1995,0,"D,,S",81,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,18-03-1995,0,"D,,S",83,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,19-03-1995,0,"D,,S",84,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,20-03-1995,0,"D,,S",82,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,21-03-1995,0,"D,,S",82,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,22-03-1995,0,"D,,S",82,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,23-03-1995,0,"D,,S",84,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,24-03-1995,0,"D,,S",83,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,25-03-1995,0,"D,,S",84,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,26-03-1995,,,84,"H,,S"
