STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,03-06-1996,,,94,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,04-06-1996,,,89,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,05-06-1996,,,87,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,06-06-1996,,,88,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,07-06-1996,,,90,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,08-06-1996,,,94,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,09-06-1996,,,81,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,10-06-1996,,,86,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,11-06-1996,,,95,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,12-06-1996,,,94,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,13-06-1996,,,92,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,14-06-1996,,,93,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,15-06-1996,,,92,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,16-06-1996,,,83,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,17-06-1996,,,91,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,18-06-1996,,,92,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,19-06-1996,,,85,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,20-06-1996,,,84,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,21-06-1996,,,88,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,22-06-1996,,,84,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,23-06-1996,,,79,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,28-06-1996,,,91,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,29-06-1996,,,90,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,30-06-1996,,,84,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,01-07-1996,,,84,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,02-07-1996,,,83,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,03-07-1996,,,88,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,04-07-1996,,,85,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,05-07-1996,,,84,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,06-07-1996,,,88,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,07-07-1996,,,89,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,08-07-1996,,,88,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,09-07-1996,,,90,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,10-07-1996,,,89,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,11-07-1996,,,89,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,12-07-1996,,,89,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,13-07-1996,,,93,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,14-07-1996,,,90,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,15-07-1996,,,85,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,16-07-1996,,,87,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,17-07-1996,,,90,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,18-07-1996,,,86,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,19-07-1996,,,88,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,20-07-1996,,,87,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,21-07-1996,,,88,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,22-07-1996,,,88,"H,,S"
