STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,04-02-2016,,,71,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,05-02-2016,,,71,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,06-02-2016,,,71,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,07-02-2016,,,71,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,08-02-2016,,,75,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,09-02-2016,0.12,",,S",73,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,10-02-2016,0,",,S",74,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,11-02-2016,,,77,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,12-02-2016,,,77,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,13-02-2016,,,79,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,14-02-2016,,,78,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,15-02-2016,,,79,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,16-02-2016,,,81,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,17-02-2016,,,81,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,18-02-2016,,,81,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,19-02-2016,,,84,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,20-02-2016,,,85,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,21-02-2016,,,85,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,22-02-2016,,,82,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,23-02-2016,,,81,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,24-02-2016,,,75,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,25-02-2016,3.27,",,S",76,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,26-02-2016,0,",,S",75,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,27-02-2016,0.31,",,S",78,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,28-02-2016,0,",,S",79,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,29-02-2016,,,80,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,01-03-2016,,,81,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,02-03-2016,0.02,",,S",80,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,03-03-2016,0,",,S",82,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,04-03-2016,,,83,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,05-03-2016,,,85,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,06-03-2016,0.01,",,S",83,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,07-03-2016,0,",,S",81,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,08-03-2016,,,82,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,09-03-2016,,,85,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,10-03-2016,,,84,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,11-03-2016,,,85,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,12-03-2016,,,86,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,13-03-2016,,,82,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,14-03-2016,,,81,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,15-03-2016,0,",,S",83,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,16-03-2016,,,84,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,17-03-2016,,,83,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,18-03-2016,,,83,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,19-03-2016,,,84,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,20-03-2016,,,85,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,21-03-2016,,,87,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,22-03-2016,,,87,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,24-03-2016,,,86,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,25-03-2016,,,84,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,26-03-2016,,,85,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,27-03-2016,,,84,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,28-03-2016,,,85,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,29-03-2016,,,85,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,30-03-2016,,,85,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,31-03-2016,,,85,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,01-04-2016,0.01,",,S",80,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,02-04-2016,0,",,S",85,"H,,S"
